Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDT59,OUT046,3667.185757571909
FDB23,OUT046,3649.1914405609946
FDR49,OUT045,709.66299838183
FDB03,OUT010,1855.313880223172
FDN39,OUT045,2629.424752676837
FDX02,OUT027,4932.885590689028
FDQ16,OUT027,3163.760586850956
FDU35,OUT018,1328.5759217952125
NCT29,OUT013,1979.3709273129198
FDZ27,OUT046,769.9896449973812
FDN57,OUT017,2339.1591340517552
FDA03,OUT018,2044.3991788886124
FDZ36,OUT045,2920.0116422622896
NCU05,OUT013,1342.8673779213316
FDT39,OUT018,2189.5373105073418
FDK60,OUT017,1708.2845404270552
FDZ25,OUT017,2875.796778732635
FDG12,OUT046,2017.4192418463304
DRB01,OUT019,1099.7618022086874
NCC43,OUT027,5360.356537425774
FDX13,OUT019,2058.6962663936297
FDM22,OUT049,1017.2861701814695
FDJ03,OUT027,2256.853166480079
FDU14,OUT018,3637.6270526376497
FDB33,OUT010,668.1212502043634
FDP27,OUT046,3007.743579121548
FDO38,OUT010,-646.7348549636729
FDE28,OUT027,5113.031053153898
FDO27,OUT035,1692.2057820901464
DRL23,OUT027,3189.873719706058
FDS28,OUT046,936.4757175822429
FDX24,OUT013,1543.4741222484022
FDZ02,OUT035,1700.6068424716582
FDL46,OUT045,1799.8881620584607
FDS60,OUT027,4300.014650588091
NCO06,OUT017,624.0805146637431
FDO16,OUT035,1504.244715698611
FDC60,OUT049,1540.427791009637
FDA48,OUT018,3192.622599155932
FDZ36,OUT027,4469.924813133499
FDK27,OUT045,1881.5512197852067
FDW23,OUT018,377.6933186363916
FDM14,OUT018,1534.7639690982833
FDM14,OUT013,1813.7110588163637
FDW60,OUT018,2603.9427374606444
FDE21,OUT013,1942.557877604013
NCM42,OUT035,1875.1452440396233
FDY59,OUT010,-383.6304926105083
DRI49,OUT049,1357.4172678460236
FDT28,OUT019,481.53485808269465
FDQ22,OUT018,394.4893414583588
FDR60,OUT049,1325.7118952523201
FDC50,OUT019,-383.358573138667
FDV24,OUT013,2439.1681504471835
DRF48,OUT010,1075.3726476270979
FDQ47,OUT046,643.0328264307827
DRN36,OUT049,1647.3548211211523
NCY06,OUT035,2165.0771843476305
FDE52,OUT035,1597.1599020819376
NCB54,OUT045,1957.1569198422958
NCF31,OUT035,2541.1377311199585
FDJ08,OUT027,4476.716350597659
NCC07,OUT017,1786.6642819066537
NCD19,OUT027,2319.3553441693107
FDL46,OUT049,2013.958776386748
FDM20,OUT045,3857.333202475684
NCI06,OUT010,916.4195683121247
DRM11,OUT035,4238.375118838971
NCH07,OUT018,2198.8056960753906
FDS23,OUT013,2086.153560877644
FDO49,OUT018,602.0864935180375
FDS35,OUT049,1161.5161137054642
DRK39,OUT045,1269.7236599789917
DRI39,OUT049,1045.5464730246904
FDV04,OUT017,2609.331145709792
NCN14,OUT035,3013.9619475037994
FDH08,OUT013,3728.889187971505
FDS20,OUT046,2938.907430538611
FDV40,OUT049,1314.7703589541657
FDZ48,OUT010,-146.59922948156077
FDS24,OUT027,2913.15539271488
FDK44,OUT049,2880.9786704276644
FDS48,OUT045,2349.3957884356078
FDK26,OUT010,1131.094089410012
FDD23,OUT045,2990.704676050582
NCH54,OUT017,2633.995258691831
NCP14,OUT010,-266.3574058930775
FDM60,OUT010,-1198.6576297166966
FDV24,OUT017,2504.6524914339107
FDH08,OUT018,3384.542573559398
FDS12,OUT027,3460.749085659699
FDR39,OUT027,4312.764824140992
FDP12,OUT027,2122.248927488213
DRF60,OUT027,5164.567262624098
FDC09,OUT035,1883.442532856418
FDF50,OUT018,2879.9203160962843
FDG28,OUT035,4016.6497623946893
NCE19,OUT017,977.1490727608737
NCM53,OUT010,-180.9753191502158
NCN18,OUT049,1861.2032313877398
FDF32,OUT035,3329.868922202811
FDF11,OUT013,3892.719632931578
DRI59,OUT049,3667.9342081143527
NCG54,OUT035,2796.2664209991112
FDM44,OUT046,1675.0680462263213
FDT57,OUT018,3459.279420760509
FDV24,OUT046,2399.097706555625
FDI50,OUT019,1786.4012908747177
FDS09,OUT035,1023.1516234635501
NCC31,OUT027,3887.2860334276143
FDQ07,OUT019,1624.214605012629
FDC22,OUT017,3157.018159896369
FDZ56,OUT046,2734.911984002915
FDZ40,OUT019,-1022.145191982968
FDS46,OUT027,3385.5777133585593
DRD24,OUT045,2159.589617076296
FDV45,OUT017,3100.6817118768763
FDL26,OUT045,2436.0653659090344
FDA56,OUT018,1740.6246881867196
FDN27,OUT046,1904.3229341859828
FDM20,OUT049,4005.3633586985684
FDO16,OUT017,1436.6457475135112
FDL03,OUT035,3299.442540078974
FDE58,OUT046,1871.3657980213093
FDI02,OUT027,3306.696291739518
NCC55,OUT019,-1279.417206297288
FDR03,OUT018,3041.71793960338
FDB14,OUT017,1659.852501746719
FDR45,OUT013,3837.63164821132
NCN07,OUT017,2173.7439146597585
FDM51,OUT019,-192.2029043759078
FDT52,OUT027,5338.450723237742
FDL26,OUT046,2482.7307860334085
NCZ42,OUT046,3753.7017646206427
DRI47,OUT019,445.1203020149758
FDW40,OUT013,2287.7685397404266
FDN34,OUT046,2741.696027812516
FDS01,OUT035,3017.3237067242617
NCG55,OUT045,1765.2942185836523
FDC11,OUT035,1559.9933180146618
FDX35,OUT018,3346.804043857615
NCB06,OUT046,2539.15927877095
FDR09,OUT019,2182.3780388384553
FDC53,OUT017,1658.539578152956
FDY45,OUT013,4069.696785040263
FDA22,OUT010,771.4120749481333
FDE02,OUT035,1692.382930630698
FDW21,OUT045,1604.467233578188
FDV34,OUT046,1249.2493121467191
FDS59,OUT049,1907.49170921952
NCW17,OUT017,2156.2783417351643
NCK54,OUT046,1853.3706458266129
FDG17,OUT019,1985.4134196448817
FDG35,OUT017,2938.8360106217715
FDD08,OUT010,-1229.7502922378262
NCO07,OUT017,3443.398353153417
FDJ10,OUT010,350.02119413907826
FDW36,OUT017,1783.495439264304
FDW21,OUT010,-227.26590205354728
FDY19,OUT017,2035.873512129439
DRE03,OUT013,827.1418107738518
NCC55,OUT049,709.2115078581508
FDH52,OUT010,-848.0907936224946
FDO09,OUT017,4294.542457274047
FDU43,OUT045,3789.2791477134383
FDX09,OUT010,850.2986593913886
FDH40,OUT019,-545.4262912121658
FDW58,OUT017,1793.6364638342047
FDC47,OUT017,3671.724976490688
NCR41,OUT035,1674.8201630481094
DRG49,OUT035,3983.1745354443015
FDC52,OUT027,3885.812438581526
FDY13,OUT046,1253.7593330727982
FDY35,OUT013,836.2007552701302
FDI35,OUT017,3018.894709918524
NCU18,OUT049,2319.765693676915
FDY33,OUT018,2268.1742412796143
FDC15,OUT027,3875.457766680103
FDU01,OUT049,3145.0559439928174
NCU42,OUT046,2670.921690373227
NCV29,OUT018,2547.661296886207
NCY30,OUT017,2981.898101219736
FDQ46,OUT049,1876.0184855345738
FDG58,OUT027,3924.703598350124
FDK33,OUT017,3486.1949733460547
NCD07,OUT045,1751.0152279913323
NCX29,OUT027,3737.088568268196
NCT42,OUT013,2369.5560695457443
DRN59,OUT035,916.6928069781284
FDI44,OUT035,1450.1285672936838
FDA45,OUT049,2890.568154197813
FDP31,OUT045,1053.2722696555015
FDY01,OUT046,1886.3645681875892
FDT09,OUT018,1893.6578891266363
DRH03,OUT027,2996.102108843401
FDA36,OUT018,2703.07769383645
NCF31,OUT017,2513.9560763386357
FDG14,OUT049,2581.086998882985
FDG28,OUT027,5347.207608507233
FDU14,OUT049,4007.971002165698
FDY47,OUT019,248.49587397006007
FDI56,OUT049,1581.6406803552482
DRD01,OUT013,983.0084314988007
FDM22,OUT046,961.1646739942448
FDH33,OUT013,716.624450774777
DRZ24,OUT013,1899.3148325502552
NCQ38,OUT046,1689.4775966020525
FDO16,OUT027,2800.5012489190235
FDU07,OUT027,3860.537689119618
NCB07,OUT013,3073.784732779375
FDU48,OUT045,2047.496027929671
NCM43,OUT045,2550.0350757297497
FDR31,OUT010,464.5090752073463
DRK49,OUT018,400.98936011055423
NCI30,OUT010,1912.3567238487558
DRD60,OUT017,2963.2434294166155
NCG19,OUT046,3658.0943677804084
FDH12,OUT035,1829.6623705544534
FDM32,OUT035,1671.2925855719045
FDM27,OUT035,2644.2726846535193
NCU53,OUT027,4096.081535633204
NCQ18,OUT046,1541.095084238034
FDS10,OUT013,2874.3810605083745
FDB33,OUT027,4002.0823583857705
FDI12,OUT013,1456.1925447819303
NCW42,OUT013,3498.768209567497
NCC06,OUT018,1754.634696420926
FDW02,OUT017,2120.233498924933
NCD43,OUT017,1760.1504694139849
FDM57,OUT018,1098.2870695654192
FDA58,OUT017,3825.6687684576577
FDK56,OUT046,2949.8160111800657
FDP52,OUT045,3620.5327988644663
FDW20,OUT018,1751.4444973206018
FDS52,OUT049,1706.0573052803834
NCT29,OUT018,1634.955727070334
NCL54,OUT013,2792.888845870358
FDC05,OUT045,3077.805812004607
FDF34,OUT035,3310.357156781856
FDP03,OUT027,3485.60439516024
FDD32,OUT010,-483.05251737862113
FDZ10,OUT045,1980.2527276948717
FDZ40,OUT035,1022.2123948994745
FDD51,OUT018,393.6174581534276
NCY30,OUT019,932.0668835984229
FDP58,OUT017,3521.382345914734
FDV49,OUT017,4313.472733221808
FDY24,OUT019,-1024.222423014825
NCO55,OUT017,1800.5520906493498
FDR13,OUT017,2055.552317738964
FDS51,OUT017,1135.6152275219433
FDP26,OUT045,1544.445706704651
NCB54,OUT027,3512.3432513068406
FDF32,OUT017,3259.063244360655
FDN31,OUT018,2750.8791106902604
DRM48,OUT017,681.5603588800625
FDN20,OUT049,2827.081189894977
DRL01,OUT046,3722.9450748180693
FDV56,OUT049,1910.7777055625515
DRH13,OUT027,3168.5024336671613
FDA03,OUT017,2426.357916067355
FDF47,OUT027,5003.585092951362
FDX32,OUT046,2398.769148361611
FDX57,OUT049,1692.3571966206373
NCA30,OUT045,2896.3775207893877
FDO49,OUT013,913.7593592199569
FDL04,OUT019,-261.26168805692464
DRM48,OUT035,739.9886076706211
FDR16,OUT013,3394.790582375086
NCC19,OUT018,2729.827405380609
NCE42,OUT045,3631.400459421841
FDY24,OUT017,1037.1542139170438
FDH19,OUT049,2894.900738379101
FDJ46,OUT013,2781.6770998342768
FDN45,OUT010,1596.4740166401593
FDY08,OUT035,2419.5810709989905
FDZ37,OUT035,1630.1300926036333
NCT30,OUT045,680.4436079259933
DRY23,OUT018,433.2327097077564
NCZ30,OUT018,1646.0608745633622
FDC44,OUT018,1541.0140775505156
FDB45,OUT035,1872.6964136228607
FDY04,OUT013,2649.9800782245397
FDM27,OUT046,2591.599935236878
FDZ43,OUT017,3990.924904080754
FDT39,OUT019,570.4243009550139
NCC06,OUT019,108.33820211113778
FDL15,OUT027,3902.3015140960083
FDL57,OUT017,4200.711757836672
FDU08,OUT046,1634.0493251772245
FDK40,OUT017,4257.028180444546
FDQ12,OUT010,1719.0651662609048
FDS48,OUT017,2526.076493111753
FDP09,OUT045,3287.2637055516393
FDW21,OUT049,1743.1508365564246
FDY25,OUT035,3054.986825375229
DRE13,OUT017,1476.187172221828
FDV43,OUT019,-1157.934944495466
FDD22,OUT045,1704.5198314026907
FDM46,OUT019,-464.6700083759249
NCO30,OUT010,1003.1093578986142
FDM25,OUT046,2812.772564797166
NCN41,OUT049,2060.6747619173366
FDU24,OUT045,1458.9095634617233
FDZ50,OUT046,2905.730047474404
FDP45,OUT013,4044.0068376174
NCM54,OUT045,1916.7966637565623
FDW10,OUT019,869.7398134034877
FDP20,OUT017,2188.032459869899
FDK32,OUT046,2485.56127204961
FDN52,OUT049,1513.0351188301106
FDM58,OUT045,1766.2979523643185
FDZ46,OUT027,3218.385509055169
NCA18,OUT018,1566.3502411449049
FDD35,OUT046,1986.324614096026
NCK31,OUT035,960.4591715452732
FDI40,OUT027,3067.344747255966
FDT50,OUT019,-355.1072297436442
NCT06,OUT046,2591.660536259956
FDT31,OUT035,3171.559588710859
FDT45,OUT049,971.1094437824495
FDT13,OUT045,2939.913520021106
FDO50,OUT045,1425.2409652264041
NCU18,OUT010,295.8361457676675
NCR54,OUT049,3144.952914092954
NCO18,OUT018,2527.6696514546684
FDU09,OUT045,892.979995299072
FDT13,OUT018,2738.2982960088198
FDE09,OUT046,1846.118328723201
NCK53,OUT019,-267.96708549538687
FDG45,OUT049,3522.8711459669953
DRH15,OUT035,882.0228473405723
FDO21,OUT019,1701.4165116936306
FDD14,OUT027,4369.555205350471
FDC09,OUT046,1739.7215229360154
FDH45,OUT027,2239.685875440002
FDV32,OUT046,1091.4819901184965
FDG12,OUT035,2114.4295454501403
FDS32,OUT013,2352.7118970336974
NCL55,OUT018,3668.712075078922
DRE01,OUT035,3934.8643954395225
DRE15,OUT049,1360.5733622007992
NCL42,OUT045,3801.626187016925
FDP31,OUT013,1127.6203991351945
FDN33,OUT018,1247.943121229046
FDZ59,OUT046,2653.6187812384815
FDE45,OUT010,954.8321230000499
FDJ07,OUT013,1945.096208176918
FDQ45,OUT018,2697.511034280235
FDM33,OUT027,4900.608196973919
FDO15,OUT010,-614.2170567277044
FDM46,OUT013,1487.41765860955
FDR03,OUT045,3247.9980953710524
FDY49,OUT018,2454.1053794437303
FDQ60,OUT045,1865.0985899600028
FDW10,OUT049,2904.4745353077838
FDO51,OUT049,895.9094999865906
FDJ40,OUT018,1491.469742345947
FDS20,OUT018,2648.5782840768943
FDU45,OUT013,1878.006939062659
FDV02,OUT035,2789.680782954549
FDN09,OUT046,3826.60283528859
NCM55,OUT027,4391.218529585094
FDN23,OUT018,2075.2744541711577
FDY31,OUT010,436.45446126104093
FDW03,OUT010,-143.16306683765947
FDD14,OUT046,2907.5561329288016
FDV23,OUT017,2111.3416357285532
DRI03,OUT045,2728.559243897601
FDN13,OUT035,1728.6119970559084
FDF45,OUT027,2524.8650590878415
FDU46,OUT035,1608.6724920105094
FDB57,OUT049,3701.9183404840865
FDV12,OUT049,1766.9910400132985
FDQ58,OUT013,2443.4399271668653
NCA18,OUT017,1929.6201171190019
FDH52,OUT049,1141.4519250356307
FDM24,OUT018,2153.9842254838463
NCP43,OUT027,4316.143389324636
NCO18,OUT019,883.4524088318508
FDM32,OUT017,1623.9248100362533
NCL07,OUT017,740.4707801288741
FDK03,OUT013,4019.6918886825265
FDP59,OUT017,1804.274098002094
FDQ24,OUT049,4076.273873200135
FDQ16,OUT018,1464.5704229237826
FDU44,OUT013,2662.3822044483086
FDH28,OUT010,-1269.4760320659975
FDV28,OUT019,-1326.5569346679513
FDM22,OUT045,863.0276069946594
FDR56,OUT046,3170.7669086286014
FDV39,OUT049,3234.6947851587342
FDU37,OUT019,-546.1890995746214
FDQ11,OUT010,2210.660787925805
FDX02,OUT045,3419.723458155957
NCS42,OUT018,1180.2164946712073
FDY57,OUT027,2994.683340423589
FDB21,OUT049,3923.4936451004355
FDE28,OUT017,3733.2364257814875
FDQ55,OUT017,2011.9588348198008
FDA48,OUT049,3604.6172095824927
FDZ19,OUT045,2722.0170421637454
NCC43,OUT045,3868.9187007560045
NCV18,OUT046,1280.793729004213
NCA42,OUT018,2226.9242531518676
FDY45,OUT046,4048.291511293252
NCC30,OUT045,2743.7287019702912
FDM57,OUT013,1444.2765021335827
FDL09,OUT010,733.3672564516125
FDB09,OUT027,3481.2854318788372
FDT44,OUT035,2069.2400334545496
NCT06,OUT027,4033.228701070771
FDX26,OUT049,2951.2728250952255
FDK32,OUT013,2547.4159854723107
DRA12,OUT046,2262.171149444719
FDO46,OUT010,1118.2210294499635
FDE52,OUT013,1438.9963390544972
NCH42,OUT045,3540.016628521345
FDV08,OUT035,894.9771543872748
FDB47,OUT018,3044.9801399630137
FDC28,OUT010,-165.66434812052216
FDD22,OUT046,1805.6958250446455
FDS07,OUT027,3319.6060632178155
DRI13,OUT045,3351.384798236524
FDG32,OUT018,3247.190673099399
FDU14,OUT017,4016.925293910014
FDD28,OUT019,-953.1994349991174
NCP41,OUT017,1871.5724834882772
FDS08,OUT049,2909.9954436414205
FDX47,OUT045,2496.033793776815
FDC53,OUT019,-281.5962188685114
FDQ19,OUT035,4041.500746138801
FDL14,OUT045,2475.7740376474944
FDM33,OUT019,1574.1118988430594
FDA51,OUT045,1711.8142885509474
FDZ27,OUT018,499.94610150849803
FDT04,OUT046,659.109834713388
DRC13,OUT049,2120.902329709694
FDR16,OUT027,4850.878498585544
FDQ03,OUT027,5221.881835794184
FDE38,OUT035,2844.068293717446
DRH23,OUT027,2364.3740867519437
FDT11,OUT019,1143.0839438204719
FDD09,OUT035,3040.829580729134
FDR40,OUT045,1296.1165662576577
FDX07,OUT017,3102.6202589641935
FDR07,OUT035,1737.18386688672
FDA51,OUT017,1901.353694227334
FDT59,OUT019,1770.4510920468533
FDF20,OUT017,3237.1131001650956
FDR13,OUT045,1853.4092834631801
FDY26,OUT049,3429.6643232681026
FDW04,OUT017,2198.1556932972658
FDK52,OUT017,3661.702044870294
FDN60,OUT049,2591.713041921994
FDM09,OUT019,833.7238460499209
FDP46,OUT049,1507.5136519205798
FDB50,OUT019,-634.0695505222304
NCQ29,OUT049,4161.459926493992
FDP16,OUT027,5306.640385780525
FDX33,OUT018,2302.615644979527
FDP07,OUT010,1241.9729796050221
FDN22,OUT046,3976.6330394677966
FDF39,OUT049,4239.674831565093
FDS21,OUT017,1150.694740912224
NCM42,OUT013,1727.8802802905693
FDK50,OUT019,743.5953415384404
DRF13,OUT027,3777.626673663652
FDH35,OUT018,2354.268294806075
FDP60,OUT018,1331.3448058117328
DRJ49,OUT027,3520.6554139750947
NCT42,OUT019,444.7648789231466
FDE38,OUT049,2795.5012412702354
FDI04,OUT049,3258.0291551408613
NCH54,OUT045,2403.874236763294
FDT56,OUT049,1127.605863795287
DRD15,OUT018,3393.044363035495
FDV58,OUT013,3114.1301938824663
FDP21,OUT049,3108.3360896805953
FDH05,OUT013,3718.5226681943
FDR10,OUT027,4026.71620601521
NCP06,OUT045,2282.842405927663
FDF33,OUT049,2008.5541724379264
DRK37,OUT013,3012.055535375881
DRH49,OUT045,1291.8502737620943
FDT58,OUT013,2676.964890482722
FDD41,OUT018,1410.1332989540076
FDP40,OUT018,1519.6512463164186
FDM51,OUT027,3142.105518656152
FDO45,OUT010,-473.7556332713541
FDW33,OUT010,-233.3237849075274
FDY24,OUT045,890.7559821733203
FDB10,OUT010,1822.85696322994
FDM40,OUT035,2350.1520337789157
NCI06,OUT017,2942.9812494581583
FDW12,OUT019,446.0460218601254
FDX48,OUT027,3968.2283945836157
NCW05,OUT027,3139.352967102822
FDX27,OUT017,1620.102193280226
DRM37,OUT045,3037.8045257233516
FDA38,OUT045,3708.8053760776306
FDR36,OUT046,705.1752697466181
FDZ45,OUT046,3140.124406976461
FDG05,OUT017,2635.0746452986978
FDK28,OUT013,4084.357134896751
FDV47,OUT045,1331.314832823759
FDN21,OUT045,2471.3912893559555
FDP20,OUT027,3522.401324430985
FDI35,OUT045,2844.791080509859
DRY23,OUT013,763.7011314741117
FDA56,OUT017,2117.929864983116
FDB09,OUT013,2037.7105997586068
NCO26,OUT027,3290.2920224738255
FDQ49,OUT018,2274.1776773064626
FDI52,OUT027,3372.4894693459187
FDZ44,OUT027,3372.160617262652
FDZ09,OUT018,2315.153402012483
FDY03,OUT049,1953.226730198744
NCG42,OUT017,2152.529524558279
DRI13,OUT027,4887.826133703973
FDQ32,OUT013,2121.182943930725
FDW16,OUT035,1638.4842651101435
FDU27,OUT046,799.1562890085879
FDR28,OUT010,705.8518762920869
FDQ49,OUT010,662.4122473964355
FDS37,OUT046,1900.2814283328507
FDW26,OUT018,3190.9994650304398
FDX12,OUT018,3587.577465366248
NCP06,OUT013,2403.795382743487
FDW45,OUT010,400.27859534445247
NCN30,OUT049,1601.1597609780342
FDN24,OUT049,965.9252597601981
NCL41,OUT027,2013.9931168722524
FDR02,OUT019,-168.9465684029608
FDD09,OUT010,1004.8421847542375
FDS33,OUT010,-452.67747733204055
FDU22,OUT045,1828.9660233465997
FDI53,OUT013,2609.9250879615174
DRH01,OUT049,2853.881734693076
FDX32,OUT013,2375.002322042443
NCP30,OUT018,369.61452067137805
FDB60,OUT045,3047.8971614633606
FDB14,OUT049,1664.9945794315672
NCP02,OUT035,1071.0092351357473
FDJ10,OUT017,2357.137695168352
FDG34,OUT046,1827.6008767361413
NCB18,OUT017,1497.3696612020408
FDM16,OUT049,1332.3838723615781
FDW25,OUT018,1121.9397888322828
FDB35,OUT010,-378.5795499606759
DRN11,OUT013,2289.0736916977726
FDF41,OUT019,1955.8766198150374
FDH16,OUT045,1335.1085947958181
NCQ50,OUT018,3058.5401994051426
DRH23,OUT018,638.3718169364374
DRJ37,OUT013,2426.7138475716247
DRJ24,OUT027,4341.98954256634
FDY16,OUT035,3062.7430234785265
FDQ27,OUT045,1671.7271514692065
FDZ33,OUT045,2276.0098722682433
FDF29,OUT045,2059.2951917845803
FDA08,OUT049,2769.731903178967
FDG31,OUT046,1090.2874614128395
FDE34,OUT019,1030.791061864192
NCR30,OUT027,2614.6012480662475
FDV33,OUT035,4261.16675374274
DRZ24,OUT018,1643.3044854797936
NCL54,OUT035,2857.6230765251225
FDR12,OUT049,2897.5028540265807
NCC54,OUT046,3803.938872691461
DRN59,OUT013,822.8822817767982
FDX50,OUT019,-183.2425611087658
FDV31,OUT027,4301.108477148255
NCA29,OUT027,4168.861099532047
FDW60,OUT049,2962.9260429048036
FDX08,OUT017,3043.429656677023
DRD49,OUT013,3711.1958600665425
FDD33,OUT046,3673.975743596447
FDW35,OUT013,766.9492185958361
FDJ36,OUT017,1786.9211505316139
FDV51,OUT035,2800.300871322741
FDW36,OUT046,1716.7867986579645
FDH35,OUT046,2652.390156025182
NCS30,OUT027,3497.366505014206
FDN49,OUT017,787.8560469324148
FDL08,OUT018,3643.111181474024
FDI09,OUT013,4034.1119726640823
FDP19,OUT018,1791.28661029247
FDU21,OUT010,-1323.636893390078
NCP41,OUT045,1667.8588688799318
FDY10,OUT013,1834.4797216587376
FDP12,OUT018,391.90962511484395
NCN26,OUT049,1932.5772890616909
FDK44,OUT013,2816.593071423196
FDC28,OUT049,1826.9537216575318
FDJ41,OUT027,5588.949925734192
NCT29,OUT035,2114.17311157328
NCH42,OUT019,1685.2867892370914
FDU60,OUT018,2425.280090282804
FDS02,OUT045,2962.0961834644
FDC51,OUT046,1981.4752021164454
FDU03,OUT013,2964.9610864820716
FDX39,OUT045,3329.960495311768
NCY05,OUT010,-1296.7588865374219
NCL06,OUT027,5512.744759391928
FDD32,OUT035,1537.9747230079674
NCN41,OUT045,1892.4018730585408
NCX53,OUT049,2362.3669634481844
FDU57,OUT019,504.4946349636473
FDQ23,OUT046,1693.9164799617038
FDQ52,OUT045,3820.156949709122
FDC14,OUT045,686.8975997656198
FDY09,OUT035,2953.8656445492234
FDQ28,OUT045,2438.3957876875843
FDV25,OUT046,3529.2555469630656
FDJ07,OUT035,2023.8564719055894
DRB25,OUT049,1777.0819223311332
FDK52,OUT019,1628.0084913961032
FDY52,OUT027,2477.9214599326338
FDB28,OUT046,3077.9781759815396
FDT36,OUT035,748.6058271456607
FDV25,OUT017,3650.477801219929
NCN07,OUT027,3525.2027575962834
FDC57,OUT017,3245.535619475193
FDQ03,OUT018,3502.3539886106223
FDU23,OUT017,2781.5760939624884
NCX41,OUT035,3515.596014366823
NCD06,OUT035,878.4449364897043
FDW08,OUT045,1652.8014756748685
NCU29,OUT017,2421.0396459923363
NCE06,OUT013,2546.5845300677383
FDV52,OUT010,-40.212595208389075
FDB02,OUT017,2989.403996051167
NCR18,OUT045,629.4907231402444
FDK16,OUT049,1614.415990903362
NCQ29,OUT010,2135.5729377552398
FDZ01,OUT019,-138.02768326409182
FDW27,OUT035,2660.609676716495
FDD17,OUT018,3463.9187306517233
FDW39,OUT013,2887.0425911935663
DRH59,OUT045,1120.5388381479452
FDS52,OUT013,1660.2720750835874
FDU40,OUT027,4526.833098138504
NCF54,OUT013,2757.7788965917016
FDH46,OUT045,1625.0975694790818
NCP14,OUT049,1714.039990804641
FDH50,OUT049,3124.919401058192
DRF15,OUT010,537.9258060744521
FDV27,OUT027,2916.260431203164
NCJ06,OUT049,1995.3361446042609
FDN02,OUT018,3001.177387142295
FDQ51,OUT049,925.1737726871906
FDQ07,OUT017,3693.9892905711126
FDS45,OUT049,1831.4659576166341
NCJ06,OUT045,1844.1925884337138
FDD36,OUT035,2038.7415531793
FDY25,OUT045,2864.62378108367
FDU52,OUT046,2441.2726638359363
DRK47,OUT017,3697.1667844184662
NCL30,OUT017,2126.8025782997365
FDN22,OUT035,4131.25929317348
NCF30,OUT027,3414.738074453091
